head	relation	tail
client_1A3BE0DAC8	owns	machine_5C43B1D7C9
client_1A3BE0DAC8	owns	machine_7A4E97C25C
client_1A3BE0DAC8	owns	machine_5B1978C131
client_1A3BE0DAC8	owns	machine_A1305D60A2
client_1A3BE0DAC8	owns	machine_BD44FBBF5B
client_1A3BE0DAC8	owns	machine_F254070094
client_1A3BE0DAC8	owns	machine_1C10E2F315
client_1A3BE0DAC8	owns	machine_DCD965CAF3
client_1A3BE0DAC8	owns	machine_D50EE70B18
client_1A3BE0DAC8	owns	machine_EBAB119848
client_1A3BE0DAC8	owns	machine_AD35A48521
client_1A3BE0DAC8	owns	machine_CE88EEFCA7
client_1A3BE0DAC8	owns	machine_66873D76FC
client_1A3BE0DAC8	owns	machine_C0DD283A25
client_1A3BE0DAC8	owns	machine_17FCF8308E
client_1A3BE0DAC8	owns	machine_5819D44AB7
client_1A3BE0DAC8	owns	machine_E8992CEA03
client_1A3BE0DAC8	owns	machine_D003F3BA0A
client_1A3BE0DAC8	owns	machine_F951D3CB66
client_1A3BE0DAC8	owns	machine_AB008A2B7F
client_1A3BE0DAC8	owns	machine_FBF026603C
client_1A3BE0DAC8	owns	machine_5C15D0569F
client_1A3BE0DAC8	owns	machine_2DA926F9D1
client_1B249DD9D4	owns	machine_13409FF5E3
client_1B249DD9D4	owns	machine_C9102CCDD0
client_1B249DD9D4	owns	machine_CD6A85F2A3
client_1B249DD9D4	owns	machine_7858D63EA4
client_1CCA78C6CE	owns	machine_5F5636F54A
client_1CCA78C6CE	owns	machine_FC21604541
client_1CCA78C6CE	owns	machine_885A8684DD
client_1CCA78C6CE	owns	machine_2F9E192415
client_1CCA78C6CE	owns	machine_433F461679
client_1CCA78C6CE	owns	machine_D061E99D99
client_1CCA78C6CE	owns	machine_096186B65F
client_1CCA78C6CE	owns	machine_8B3840B408
client_1CCA78C6CE	owns	machine_249301E2E8
client_1CCA78C6CE	owns	machine_3CAC1C08FE
client_1CCA78C6CE	owns	machine_0792CF62EB
client_1CCA78C6CE	owns	machine_E6CB4315ED
client_1CCA78C6CE	owns	machine_708469A771
client_1CCA78C6CE	owns	machine_C571275EA7
