trial,timestamp,objective_value,valid_recall@20,valid_ndcg@20,test_recall@20,test_ndcg@20,seed,learning_rate,batch_size_sasrec,batch_size_kge,num_neg_b,margin_loss,hidden_dropout,attn_dropout,metrics,trial_dir
0,1780055401,0.463,0.463,0.2536,0.3744,0.2193,2020,0.0001,512,512,4,5.19,0.4,0.3,"{""validation_recall@20"": 0.463, ""validation_ndcg@20"": 0.2536, ""test_recall@20"": 0.3744, ""test_ndcg@20"": 0.2193}",hpo_results/step4_one_to_one/trial_0
1,1780076185,0.5,0.5,0.2973,0.4384,0.2645,2020,8.108971322919983e-05,128,1024,1,7.261743675271241,0.44903633026041134,0.42532228700964586,"{""validation_recall@20"": 0.5, ""validation_ndcg@20"": 0.2973, ""test_recall@20"": 0.4384, ""test_ndcg@20"": 0.2645}",hpo_results/step4_one_to_one/trial_1
2,1780084416,0.4583,0.4583,0.2641,0.379,0.2286,2020,3.980565540437486e-05,512,2048,4,2.242265117821396,0.3898521956810763,0.25019618611268385,"{""validation_recall@20"": 0.4583, ""validation_ndcg@20"": 0.2641, ""test_recall@20"": 0.379, ""test_ndcg@20"": 0.2286}",hpo_results/step4_one_to_one/trial_2
5,1780233071,0.4583,0.4583,0.2757,0.4658,0.2705,2020,5.846721934951736e-05,256,1024,1,6.092275289842057,0.5741290479641675,0.3618159748572243,"{""validation_recall@20"": 0.4583, ""validation_ndcg@20"": 0.2757, ""test_recall@20"": 0.4658, ""test_ndcg@20"": 0.2705}",hpo_results/step4_one_to_one/trial_5
8,1780252485,0.4306,0.4306,0.2509,0.3653,0.2235,2020,1.586533694856715e-05,512,512,2,5.441811104920105,0.1431154502117888,0.13772082434382907,"{""validation_recall@20"": 0.4306, ""validation_ndcg@20"": 0.2509, ""test_recall@20"": 0.3653, ""test_ndcg@20"": 0.2235}",hpo_results/step4_one_to_one/trial_8
10,1780406677,0.4259,0.4259,0.2384,0.3333,0.1921,2020,0.0002952033308305257,512,2048,2,0.6253548061681931,0.22733260678474623,0.34107371205737813,"{""validation_recall@20"": 0.4259, ""validation_ndcg@20"": 0.2384, ""test_recall@20"": 0.3333, ""test_ndcg@20"": 0.1921}",hpo_results/step4_one_to_one/trial_10
11,1780415925,0.4213,0.4213,0.2502,0.3973,0.2376,2020,0.00015767258043384075,1024,512,4,6.334948171276255,0.4145650492892995,0.15491363031183447,"{""validation_recall@20"": 0.4213, ""validation_ndcg@20"": 0.2502, ""test_recall@20"": 0.3973, ""test_ndcg@20"": 0.2376}",hpo_results/step4_one_to_one/trial_11
