trial,timestamp,objective_value,valid_recall@20,valid_ndcg@20,test_recall@20,test_ndcg@20,seed,learning_rate,batch_size_sasrec,batch_size_kge,num_neg_b,margin_loss,hidden_dropout,attn_dropout,metrics,trial_dir
0,1780055239,0.4722,0.4722,0.2715,0.4018,0.2425,2020,0.0001,512,512,4,5.19,0.4,0.3,"{""validation_recall@20"": 0.4722, ""validation_ndcg@20"": 0.2715, ""test_recall@20"": 0.4018, ""test_ndcg@20"": 0.2425}",hpo_results/step4_epoch/trial_0
1,1780067466,0.4444,0.4444,0.2517,0.3881,0.2306,2020,7.539540390106886e-05,256,2048,4,8.871539699904298,0.20442902622042966,0.05865852005929714,"{""validation_recall@20"": 0.4444, ""validation_ndcg@20"": 0.2517, ""test_recall@20"": 0.3881, ""test_ndcg@20"": 0.2306}",hpo_results/step4_epoch/trial_1
3,1780226881,0.4769,0.4769,0.2687,0.379,0.2253,2020,0.00020961942189546838,1024,512,8,5.1103818556140155,0.15443758317543146,0.457991542546765,"{""validation_recall@20"": 0.4769, ""validation_ndcg@20"": 0.2687, ""test_recall@20"": 0.379, ""test_ndcg@20"": 0.2253}",hpo_results/step4_epoch/trial_3
4,1780233676,0.5093,0.5093,0.3053,0.4749,0.2654,2020,0.0002214751193432723,1024,2048,1,1.9092406647496916,0.26882517917076154,0.5122107440836169,"{""validation_recall@20"": 0.5093, ""validation_ndcg@20"": 0.3053, ""test_recall@20"": 0.4749, ""test_ndcg@20"": 0.2654}",hpo_results/step4_epoch/trial_4
5,1780265570,0.4167,0.4167,0.2228,0.3744,0.1983,2020,0.0003091402777795385,128,1024,8,9.765731228476048,0.31359325676683003,0.1802690342021186,"{""validation_recall@20"": 0.4167, ""validation_ndcg@20"": 0.2228, ""test_recall@20"": 0.3744, ""test_ndcg@20"": 0.1983}",hpo_results/step4_epoch/trial_5
8,1780406680,0.4167,0.4167,0.2451,0.379,0.2142,2020,6.439049159982947e-05,512,512,4,7.088358487248437,0.47579614208712684,0.4571810658048001,"{""validation_recall@20"": 0.4167, ""validation_ndcg@20"": 0.2451, ""test_recall@20"": 0.379, ""test_ndcg@20"": 0.2142}",hpo_results/step4_epoch/trial_8
9,1780415753,0.4259,0.4259,0.2478,0.3653,0.2149,2020,0.00013764660490317454,1024,1024,4,9.936309394874588,0.32214542178118255,0.19232230294665423,"{""validation_recall@20"": 0.4259, ""validation_ndcg@20"": 0.2478, ""test_recall@20"": 0.3653, ""test_ndcg@20"": 0.2149}",hpo_results/step4_epoch/trial_9
10,1780422052,0.4398,0.4398,0.2629,0.3607,0.2216,2020,3.1573798126872675e-05,1024,2048,4,3.84668049555814,0.3056182861424038,0.10436501982561387,"{""validation_recall@20"": 0.4398, ""validation_ndcg@20"": 0.2629, ""test_recall@20"": 0.3607, ""test_ndcg@20"": 0.2216}",hpo_results/step4_epoch/trial_10
